,招标人,中标人,中标金额,中标时间
1,西藏自治区群众艺术馆,,,
2,朔州市人民政府信息中心,中国联合网络通信有限公司朔州市分公司,1498000.00元/年,2017年11月28日
3,国家卫星气象中心,,,
4,白城师范学院,,,
5,中山市国土资源局,,,
6,奉节县农村土地整治中心,福建万昌建设工程有限公,(万元)254.005008,2017年11月22日
7,红河哈尼族彝族自治州国土资源局,,,
8,滁州市第二实验小学,,,
9,柏乡县城乡管理行政综合执法局,,,
10,北京市公安局怀柔分局,,,
11,福建省基础地理信息中心,福州华图伟业软件股份有限公司,33.77万元,2017年12月7日
12,百色市百东新区管理委员会,广西东翔测绘工程有限公司,陆拾玖万捌仟元整,2017年12月8日
13,玉树州申报世界自然遗产工作领导小组办公室,,,
14,格尔木市人民医院,江西声谆贸易有限公司,397.80万元,2017年11月22日
15,河南省公安消防总队,深圳市科卫泰实业发展有限公司,肆佰伍拾捌万捌仟捌佰捌拾元整,2017年11月22日
16,晋中市规划和城市管理局,北京数字政通科技股份有限公司,397500,2017年11月28日
17,乐安县农业局,,,
18,东光县国土资源局,,,
19,溧阳市住房和城乡建设投资集团有限公司,江苏东大金智信息系统有限公司,肆佰陆拾柒万壹仟壹佰壹拾叁元整,2017年11月28日
20,广东省公安边防总队,,,
21,晋中市群众艺术馆,北京世纪超星信息技术发展有限责任公司,28.15万元,2017年11月23日
22,垫江县不动产登记中心,,,
23,文安县国土资源局,,,
24,驻马店市驿城区古城乡卫生院,驻马店市美达医疗器械有限公司,柒拾伍万元整,2017年11月27日
25,陕西省汉中市中级人民法院,,,
26,梧州市图书馆,,,
27,中国烟草总公司,,,
28,昌江区农村集体土地确权登记发证工作领导小组办公室,,,
29,冷水江市国土资源局,"湖南省第三测绘院,湖南省测绘科技研究院,湖南省第二测绘院","182800.00182800.00,188000.00188000.00,188000.00188000.00",2017年11月27日
30,威信县国土资源局,,,
,,,,
