Unnamed: 0,招标人,中标人,中标金额,中标时间
1,枣庄市公安局交通巡逻警察支队,枣庄大中建设项目管理有限公司,0元,43027
2,平阳县国土资源局,杭州华旗招标代理有限公司,550万元,43041
3,山东省地质调查院,山东龙融招投标代理有限公司,0元,43038
4,易县国土资源局,保定通达招标有限公司,71.86万元,42803
5,龙州县优质高产高糖糖料蔗基地建设工作领导小组办公室,桂诚工程造价咨询事务有限责任公司,624.8万元,43035
6,崇左市大新县农村合作经济经营管理指导站,广西嘉华建设项目管理咨询有限公司,62.076万元,43025
7,福建省莆田水文水资源勘测分局采购单位,福建建发工程咨询有限责任公司,37.0万元,43047
8,清河县国土资源局,河北卓众工程项目管理有限公司,0元,43061
9,"巴彦淖尔市国土资源局临河区分局,巴彦淖尔市国土资源局临河区分局,突泉县农村饮水安全工程建设管理局,乌海市土地整理中心,察哈尔右翼前旗水利局,察哈尔右翼前旗水利局,察哈尔右翼前旗水利局,四子王旗国土资源局","内蒙古盛泰工程建筑有限公司,内蒙古盛泰工程建筑有限公司,内蒙古盛泰工程建筑有限公司,内蒙古宏兴水利水电工程有限责任公司,内蒙古广源水利工程有限公司,内蒙古广源水利工程有限公司,内蒙古广源水利工程有限公司,内蒙古广源水利工程有限公司","910.3179万元,998.8263万元,324.72万元,317.233371万元,352.6881万元,352.6881万元,352.6881万元,726.3263万元,","2014年09月13日,2014年09月13日,2016年10月21日,2014年01月30日,2016年07月16日,2016年07月16日,2016年07月16日,2016年04月25日"
10,"上海理工大学,上海理工大学,上海理工大学","上海地矿工程勘察有限公司,中勘冶金勘察设计研究院有限责任公司,上海岩土地质研究院有限公司","21.7838万元,25.5986万元,27.673万元","2017年10月12日,2017年10月12日,2017年10月12日"
11,山西文昌工程咨询有限公司,山西群利勘测规划有限公司,18.4075万元,43041
12,北京信息科技大学,北京华勤融创科技有限公司,78.085万元,43019
13,永济鑫融城市建设开发有限公司,,0元,43040
14,滨海团泊新城（天津）控股有限公司,,0元,43040
15,常州市钟楼区邹区镇人民政府,常州市中元建设工程勘察院有限公司,52.8万元,43040
16,伊春市国土资源局,哈尔滨富地科技发展有限责任公司,24.9万元,43041
17,同仁县农村合作经济管理站,西宁意韵印务有限公司,16.725万元,43042
18,北京师范大学,北京激光技术有限公司,159.0万元,43048
19,厦门市城市管理行政执法局,,0元,43042
20,梧州市公安局交通警察支队,,0元,43042
21,中共宜兴市委农村工作办公室,,0元,43032
22,太原市城乡规划局,太原市城乡规划测量中心,410万元,43038
23,太原市城乡规划局,太原市城乡规划测量中心,410万元,43038
24,安徽省住房和城乡建设信息中心行政区域,,0元,43041
25,盐城市亭湖区教育局,,0元,43041
26,滦南县扒齿港镇政府,河北远通建设有限责任公司,116.097779万元,43041
27,海原县水务局,固原市水利勘测设计院,,43041
28,驻马店市驿城区农业局,"河南中化地质测绘院有限公司,河南省地球物理工程勘察院","17.88万元,17.91万元",43041
29,钟山县旅游局,钟山县城乡规划设计室,36.6万元,43041
30,莆田学院,厦门精导仪器设备有限公司,49.35万,43041
