,招标人,中标人,中标金额,中标时间
1,海阳市水利局,海阳市水利勘测设计院,28.12万元,2017年11月17日
2,岳阳市云溪区政府采购中心,无,最高限价为1239220元,无
3,辽宁石化职业技术学院,辽宁石化职业技术学院,"2,966,600元人民币",2017年11月23日
4,龙游县广播电视总台,中广影视卫星有限责任公司,"368,566.80元",2017年11月23日
5,广宁县农业局,北京中农信达信息技术有限公司,1991000.00元,2017年11月15日
6,乐东黎族自治县国土资源局,海南图语地理信息技术有限公司,97.6万元,2017年11月24日
7,中国电信股份有限公司江阴分公司,中国电信股份有限公司江阴分公司,28万元,无
8,建德市住房和城乡建设局,无,无,无
9,灵丘县人民法院,无,1516109元,2017年11月28日
10,慈溪市教育局,无,无,无
11,南昌县经济信息中心,南昌市守正出奇科技有限公司,"296,000元",2017年11月23日
12,复旦大学,无,无,无
13,苏州市公安局,苏州数字地图信息科技股份有限公司,1895000元,2017年11月23日
14,磐石市妇幼保健计划生育服务中心,江西科爱科技发展有限公司,158000.00元,2017年11月27日
15,合肥新站高新技术产业开发区重点工程管理局,无,29.9万元,2017年11月29日
16,广西科文招标有限公司,南宁君哲教育咨询有限公司,89.5万元,2017年11月28日
17,佛山市南海区西樵城市管理局,无,"1,550,999.12元",2017年12月8日
18,大同市妇幼保健计划生育服务中心,大同市宇华医疗设备有限责任公司,1330000元,2017年11月14日
19,南宁市规划管理局,无,无,无
20,新县职业高级中学,无,无,无
21,江城县公安局交通警察大队,无,无,无
22,方城县国土资源局,郑州蓝图土地环境规划设计有限公司,139.56万元,2017年11月29日
23,四川省遂宁市船山区公安分局,海能达通信股份有限公司,"298,000元",2017年12月5日
24,景县龙华镇等六个镇,衡水凡一市政工程有限公司,775010.82元,2017年12月5日
25,万年县政府采购管理办公室,江西省谷正工程咨询有限公司,34.47万元,2017年12月5日
26,西安市公安局未央分局,西安交远能源科技有限公司,135580元,2017年12月4日
27,成都市排水设施管理处,成都安美勤信息技术股份有限公司,"306,000元",2017年11月20日
28,广西壮族自治区海洋和渔业厅,广西壮族自治区海洋和渔业厅,20万元,2017年11月21日
29,山西省省级政府采购中心,无,197.847万元,无
30,沁水县农村集体经济经营管理局,山西五维测绘有限公司,山西五维测绘有限公司,2017年11月24日
