Unnamed: 0,招标人,中标人,中标金额,中标时间
1,                    山东中成信建设项目管理有限公司,山东天捷智能化工程有限公司,        1978770.00元,43076
2,清河县国土资源局,河北光耀市政工程集团有限公司,1006886.00元,43019
3,中捷国土资源局,河北起工市政工程有限公司,3054866.25元,43054
4,南昌市地理信息数据中心,江西省百巨招标咨询有限公司,19.68万元,42928
5,南昌市地理信息数据中心,思创数码科技股份有限公司,6257494元,42937
6,广东轻工职业技术学院,,,
7,广东科安达招标有限公司,,,
8,抚顺市地理信息局,,,
9,衡水市冀州区国土资源局,,,43088
10,潍坊市社会福利院,山东中远地理信息工程有限公司,14900元,43066
11,四川省成都市金堂县国土资源局,四川鱼鳞图信息技术股份有限公司,668000元,43082
12,广州市国科招标代理有限公司,广州南方测绘科技股份有限公司,"1,239,590.00元",43082
13,山东东成建设咨询有限公司,山东尚德软件股份有限公司,,43082
14,云南振滇工程咨询有限公司,,,
15,四川省内江市市中区档案局,四川新环佳科技发展有限公司,895181元,2017-12-13 00:00:00
16,新疆国际招标中心,新疆宏景通讯有限公司,375.584万元,43074
17,广东人信工程咨询有限公司,,,
18,                                 隆尧县人民法院,石家庄龙汇科技有限公司,89万元,43075
19,吉林省鸿园招标代理有限公司,,,
20,哈尔滨工业大学深圳校区,北京指掌易科技有限公司,"1,498,600.00元",
21,园林工程测量创新实训室,广州南方测绘科技股份有限公司,,
22,印江自治县档案局,,,
23,柳州市城市管理信息中心,,,
24,霸州市城乡规划局,,,43095
25,河北华港泰招标咨询有限公司,,,43098
26,泰安市环境卫生管理处,中国电信集团公司山东省泰安市电信分公司,34400.00元,43066
27,四川中志招标代理有限公司,中信数字媒体网络有限公司卫星通信分公司,"2,000,000.00元",2017-11-27 00:00:00
28,三河市职教中心,北京松视信电子系统工程有限公司,5244924.00元,2017-11-16 00:00:00
29,确山县公共资源交易中心代理机构,郑州金创工程设计有限公司,49.7万元,43070
30,,,,
