Unnamed: 0,招标人,中标人,中标金额,中标时间
1,安徽省财政厅,,50万元8,2017年07月25日09:30
2,浙江省成套招标代理有限公司,,,2017-06-3014:33:30
3,阳原县住房和城乡规划建设局,,95.5万元,2017年09月08日15时00分
4,淄博市国土资源局,,,2017年11月17日9时0分
5,辽宁省高级人民法院,上海强然数码科技有限公司,15477629,43082
6,澜沧县广播电视台,普洱至胜建筑工程有限公司,1583000,43083
7,广州市房屋安全鉴定管理所,广州市房地产测绘院,4980000,42908
8,郑州测绘学校,河南杰文信息技术有限公司,987500,43049
9,隆化县农牧局,承德北网通信工程有限公司,3553200.00元,2017-12-07 00:00:00
10,牟定县住房和城乡建设局,,450万元,2017年12月27日15:00
11,郑州市古荥汉代冶铁遗址博物馆,河南智博工程咨询有限公司,178.8万元,43075
12,沧县国土资源局,沧州三环工程建设监理有限公司、河北裕华工程项目管理有限责任公司、河北深华工程建设项目管理有限公司、沧州市天翔工程项目管理有限公司、河北华盛工程项目管理有限公司、黄骅市工程建设监理有限公司、河北春蓬工程项目管理有限公司、河北正荣工程监理有限公司、沧州双盛公路工程咨询有限公司,107000.00、107500.00、80800.00、91800.00、71148.00、107300.00、78694.00、96600.00、107800.00,2017.11.14
13,罗城仫佬族自治县水利局,广西诚华工程造价咨询有限公司,427800.00元,43055
14,江西省无线电监测站,天津辉宏科技发展有限公司,293000.00元,43052
15,深圳市宝安区石岩街道办事处,深圳市长勘勘察设计有限公司,50万元,43059
16,黑龙江省国土资源勘测规划院,杭州数维智测科技有限公司,297000,2017-12-08 00:00:00
17,滨州市环境保护局,山东省信息产业服务有限公司、滨州市荣威电子科技有限公司、沈阳无距科技有限公司、滨州一点通信息科技有限公司、滨州市广智商贸有限公司,965000元,43076
18,东至县城市管理行政执法局,,640万元,2017年12月15日17:00
19,天津铁路运输检察院机关,北京影研创新科技发展有限公司,4021W-4025W,43083
20,佛山市安全生产监督管理局,,674000,2017年11月20日09时30分
21,南昌县经济信息中心,,,2017年11月23日14:30时
22,市规划局机关,南京特恩驰科技有限公司,"1,056,800.00元",43063
23,新密市国土资源局,,39万元,2017年12月20日09:30
24,南宁市西乡塘区双定镇人民政府,,13.00万元,2017年12月8日13时00分
25,自治区发改委,冠新软件股份有限公司、新疆赛昂新软科技开发有限公司,250000元、264000元,2017年12月12日上午11:00
26,四川省乐山市井研县门坎乡卫生院,江西科爱科技发展有限公司,393000,2017-12-1414:20
27,遵化市国土资源局,遵化市兴源土地整理有限公司,285850元,43083
28,哈尔滨工业大学深圳研究生院,航天四创科技有限责任公司,786.85148,43082
29,四川省成都市双流区胜利镇人民政府,,600000,2018-01-0511:00
30,广东轻工职业技术学院,广州南方测绘科技股份有限公司,1545300,43083
