Unnamed: 0,招标人,中标人,中标金额,中标时间
1,蔚县国土资源局,,1948100,2017年12月28日11时00分
2,南宁市房产信息管理服务中心,南宁市房地产信息中心,178700.00元,43054
3,四川省绵阳市绵阳市不动产登记中心,四川九洲北斗导航与位置服务有限公司,7518000,2017-11-2000:00
4,中共四川省委党校，四川顺智招投标代理有限公司,,107万元,2017-12-0614:00
5,陕西开源招标有限公司，千阳县国土资源局,,35万元,2017年12月25日15:00
6,福州大学,上海科铭仪器有限公司,45362.98,43074
7,南京金鼎工程造价评估有限责任公司,,350万元,43074
8,宁夏永恒信建设工程咨询有限公司,中测新图（北京）遥感技术有限责任公司，北京新兴科遥信息技术有限公司,18839001688872,2017年12月05日10:04
9,广东明正项目管理有限公司,,5000000,2017年12月26日15:00
10,四川天成工程造价咨询有限公司攀枝花分公司,,,
11,磴口县国土资源局,,12017,2017年11月29日下午18:00
12,陕西万泽招标有限公司,,702万元,2017年12月18日09:30时
13,中国科学院大气物理研究所,,140万元,2017年12月19日13:30
14,河南省农业科学院农业经济与信息研究所,北京航天宏图信息技术股份有限公司，绿欣燕信科技（北京）有限公司，河南远景科技有限公司,115.96万元,2017年12月04日17:47
15,玉溪市国土资源局,,131.82万元,2018年01月05日14:30
16,广西壮族自治区地理国情监测院,,A分标：125万元，B分标：62.8万元，C分标：112.4万元,2017年12月25日上午9时
17,河南英典工程管理有限公司,,44493500.00元,43084
18,南宁职业技术学院,领航未来(北京)科技有限公司,911000,43076
19,市检察院,河北科怡科技开发有限公司,924800.00元,2017-11-15 00:00:00
20,福建林业职业技术学院,,85万元,2017-12-139:00
21,威海永平土地房地产估价有限公司,,54.20万元,2017年07月19日09:00
22,贵州卫虹医药电子商务有限公司,,,2017-11-2714
23,淮安市政府采购中心,江苏星月测绘科技股份有限公司,7496000,43053
24,宁波华昌工程管理咨询有限公司,宁波云开信息技术有限公司,84000元,43074
25,青岛市勘察测绘研究院,青岛市测绘应急保障中心,387.86万元,2017年11月28日20:10
26,四川省图书馆四川中意招标有限公司,,300万元,2017-12-2010:00
27,巨鹿县农工委,北京中农信达信息技术有限公司,871220.00元,2017-11-30 00:00:00
28,鹿邑县水利局,,69万元,2017年12月18日下午15:00分
29,江苏苏中兴工程造价咨询有限公司,,35万元,2017年12月08日15:00
30,江苏省水利科学研究院材料结构研究所,,35.0万元,2017年12月08日15:00
