Unnamed: 0,招标人,中标人,中标金额,中标时间
1,泰安市住房和城乡建设局,,,
2,重庆市綦江区国土资源和房屋管理局,,,
3,舒兰市中医院,吉林省国投普迪药业有限公司,229.5万元（人民币）,43060
4,中国科学院测量与地球物理研究所,北京恒鑫盛科贸有限公司,555.6万元（人民币）,43055
5,无锡市梁溪区城市投资发展管理中心 ,暂未确定，需要等待评审结果,本项目最高限价为124.51万元,
6,全数字 没有信息,,,
7,博兴县,山东明嘉勘察测绘有限公司,51万元,43084
8,湖南润亿采购招标有限公司,,,
9,江苏省测绘地理信息局,武大吉奥信息技术有限公司,￥49.85万元,"2017年12月15日
"
10,广东工业大学,广州同略信息科技有限公司,"2,723,509.80元（人民币贰佰柒拾贰万叁仟伍佰零玖元捌角整）",评审日期为2017年7月26日
11,常熟市公安局,,,2017年12月20日下午1:30。
12,无锡市急救中心,,,
13,新余市国土资源局,江西省基础地理信息中心,5850000.00元人民币,43067
14,遵化市国土资源局,遵化市兴源土地整理有限公司,579840元(人民币),"2017年12月14日
"
15,泗水县人民防空办公室,安徽四创电子股份有限公司,3 6.2万元,43082
16,四川省遂宁市安居区公安局,四川网安科技有限公司,人民币 2719200 元整,43117
17,定远县公共资源交易中心,苍穹数码技术股份有限公司,1990000.00元,43082
18,四川省广元市旺苍县国土资源局,,,
19,浙江师范大学,浙江师范大学,1630000元,"2017年12月14日
"
20,河北省枣强县人民医院,江西鑫浩商贸有限公司,235.8万元（人民币）,43077
21,广西中信恒泰工程顾问有限公司,南宁泰坦软件有限公司,人民币肆拾叁万壹仟元整,二〇一七年十一月二十二日
22,沈丘县农牧局,河南省基力勘测有限公司,壹拾玖万捌仟柒佰元整（￥198700.00元）,"2017年12月5日。

"
23,福建省长泰县国土资源局。,,,
24,吉林农业科技学院,吉林市网联科技有限公司,"5,349,900.00 人民币",2017年12月05日。
25,邹平县公安局交通警察大队,山东清乐智能科技有限公司,177800元,43075
26,海市不动产登记中心深圳市国际招标有限公司,,,
27,：通州区文广新局地址,,,
28,广东启正招标代理有限公司,,,
29,宁夏回族自治区文化馆,,,
30,永宁县公安局,方正国际软件（北京）有限公司,人民币肆佰伍拾捌万零陆佰捌拾元整（￥4580680.00元）,43088
