,招标人,中标人,中标金额,中标时间
1,安徽省测绘局,北京国测星绘信息技术有限公司,209.1万元,2017年12月15日
2,苏州市相城区人民政府黄桥街道办事处,,,
3,辽宁省交通厅通信信息总站,,,
4,郯城县国土,,,
5,潮州市公安局,,,
6,南昌市新建区林业局,江西银隆管理咨询有限公司,,
7,潮州市图书馆,,,
8,福建商学院,"北京大雅因和信息技术有限公司,福建两岸信息技术有限公司,北京爱迪科森教育科技股份有限公司,福州山川信息科技有限公司，中科软股教育科技（北京）股份有限公司","197600.00元,30000.00元,36000.00元,60000.00元， 65000.00元",
9,四川省内江市东兴区文化广播电视体育新闻出版局,,,
10,广西壮族自治区河池市中级人民法院,,,
11,四川省雅安市中医医院,南昌市樊康贸易有限公司,3458000,2017-12-1310:30
12,唐山市国土资源局丰润区分局,新蒲集团冀唐建设有限公司,274.440723万元,2017年12月5日
13,中华人民共和国辽宁渔港监督局,,,
14,淮安市洪泽区交通运输局,,,
15,哈尔滨市公安局,"哈尔滨华谷网络科技有限公司,哈尔滨长峰伟业科技有限公司,黑龙江威讯科技开发有限公司","381100元,584828元,202200元",2017年11月22日09点30分
16,新泰市国土资源局,,,
17,中国人民武装警察部队黑龙江省边防总队,,,
18,中华人民共和国三沙海事局,广州中交通信有限公司,54万元,2017年12月4日
19,中共隆尧县委农村工作委员会,,,
20,吴堡县国土资源局,福建特力惠信息科技股份有限公司,403000.00元,2017年11月23日
21,庆元县广播电视台,青田侨视电子有限公司,3560710.00元,2017年11月23日
22,文山三七数字本草检验中心有限公司,,,
23,哈尔滨市红十字中心医院,哈尔滨科亿海科技有限公司,,2017/11/23
24,南宁至钦州公路（钦北段）改扩建工程征地搬迁工作指挥部,,,
25,惠州市公共资源交易中心博罗分中心,,,
26,广东省计量科学研究院（本级）,,,
27,荣成市石岛管理区城乡建设局,名称山东威远图测绘技术有限公司,511000,2017年7月19日
28,江门市教育局,广东思索科技有限公司,58.831万,2017/11/21
29,无锡市国土资源局,深圳中铭勘测股份有限公司,,2017年11月27日
30,兴安县国土资源局,,,
