Unnamed: 0,招标人,中标人,中标金额,中标时间
1,左云县国土资源局,山西金瓯土地矿产咨询服务有限公司,"2,230,000.00元",43061
2,石狮市不动产登记中心,厦门天海图汇信息科技有限公司,3638500.00元,2017-12-04 00:00:00
3,广西龙建工程管理有限公司,无,无,43095
4,中山市国土资源局,,8987600元,
5,福建省基础地理信息中心,福州华图伟业软件股份有限公司,33.77万元,43076
6,四川省绵阳市经济和信息化委员会,,1000000元,
7,潍坊市国土资源局,易时代新图软件有限公司,299750元,43054
8,渭南市互联网信息办公室,陕西卡文迪什信息技术有限公司,168000元,43060
9,丰宁满族自治县林业局,北京凌空远航科技有限公司,498000.00元,43068
10,柏乡县城乡管理行政综合执法局,,,43090
11,临洮县国土资源局,,,
12,吉林师范大学,北京万方数据股份有限公司,143.94万元,43060
13,宜昌市国土资源局,武大吉奥信息技术有限公司,8508400元,43060
14,常州市社会保险基金管理中心,,39.36万元（最高限价）,
15,集安市农村经济管理中心,北京中农信达信息技术有限公司,"751,000.00元",43068
16,青岛港湾职业技术学院机关,青岛新视点网络科技有限公司,123000元,43077
17,东莞市第三人民法院,广州同略信息科技有限公司,"1,577,500元",43053
18,厦门市国土资源与房产管理局,厦门精图信息技术有限公司,53万元,43069
19,天长市国土资源和房产管理局,南京捷鹰数码测绘有限公司、南京国图信息产业有限公司、苍穹数码技术股份有限公司（预中标单位）,1213650元,43060
20,新疆第一测绘院；涉县国土资源局；新乡县国土资源局,,,
21,连城县国土资源局,,,
22,重庆市忠县公安局,,"3,304,741.00元",
23,淮安市实验小学新城校区,,,
24,中南大学档案馆,,,43098
25,广东省国家税务局,,,43097
26,郑州市第十九中学,河南汇龙数码科技有限公司,1948650.00元,43056
27,东莞市国土资源局石碣分局,,,
28,德州市陵城区国土资源局,山东明嘉勘察测绘有限公司,17012597700.00元,
29,,,,
30,,,,
