,招标人,中标人,中标金额,中标时间
1,苏州市公安局相城分局,苏州中润建设管理咨询有限公司,壹佰零陆万元整（?：1060000.00）,2017年12月5日上午9：30（北京时间）
2,北京市水文地质工程地质大队,北京市华研地质勘查有限公司,29.3万元（人民币）,2017年12月7日
3,府谷县教育局,,,
4,府谷县教育局,,,
5,淄博市林业局行政区域淄博市,,,
6,三亚市住房和城乡建设局行政区域三亚市,,,
7,沂水县交通运输局智慧交通平台,,,
8,江西省农业信息中心,江西致富快报有限责任公司,380800.00元,2017年12月15日
9,重庆市永川区卫星湖街道,,,
10,四川省内江市市中区档案局,四川新环佳科技发展有限公司,（元）895181,2017-12-1321:30
11,杭州市数字城管信息处置中心,,,
12,江西省宁都县国土资源局,,,
13,无锡市梁溪区城市投资发展管理中心,,,
14,国家海洋局北海信息中心,,,
15,汕头市城市综合管理局,公诚管理咨询有限公司,"580,000.00",2017/11/28
16,佛山市顺德区勒流街道中心城区,佛山市慧城信息科技有限公司,"2,456,793",2017年11月28日15:47
17,景谷县公安局,云南艾拓信息技术有限公司,34.6,2017年12月14日
18,桂城街道平西社区,,,
19,磁县人民法院,,,
20,德州市公安局,,,
21,吴桥县,,,
22,建设局,河南省基力勘测有限公司,壹拾玖万捌仟柒佰元整（￥198700.00元）,2017年12月5日
23,温州市洞头区智慧城市管理中心,,,
24,东莞市国土资源局大朗分局,,,
25,汕头市澄海区国土资源局,,,
26,福建师范大学,,,
27,四川省达州市开江县国土资源局,,,
28,亳州市公安局交警支队,,,
29,滦县国土资源局,,,
30,国家卫星气象中心,,,
