Unnamed: 0,招标人,中标人,中标金额,中标时间
1,涿州市城市管理行政执法局,,,
2,漳州市不动产登记中心，漳州长祥招标代理有限公司,广州城市信息研究所有限公司,560.6万元,43054.0
3,石家庄市鹿泉区农业畜牧局，河北安正工程项目管理有限公司,河北忻辰源电子科技有限公司,131.7025万元,43060.0
4,住房和城乡建设部机关服务中心，中国建筑设计咨询有限公司,北京国信鑫业工程咨询有限责任公司,48.637万元,42902.0
5,四川省乐山市中医医院，四川云海招投标代理有限公司,,,
6,海南省文昌市林业局,海南人宜景观艺术工程有限公司,160.746213万元,43074.0
7,张家口煤矿机械制造技工学校，河北润泰工程咨询有限公司,成都依能科技股份有限公司,785500元,43073.0
8,宜昌市河道堤防建设管理处，湖北兴焱工程咨询有限公司,,,
9,河北农业大学，河北兴冀工程项目管理有限公司,中国兵器工业北方勘察设计研究院有限公司,5.082万元,43066.0
10,晋中市公安消防支队，山西汇鑫源工程招标代理有限公司,上海梦创双杨数据科技股份有限公司,195000元,43067.0
11,夏河县国土资源局，甘肃昊智工程咨询有限公司,,,
12,河北省吴桥县建设局,,,
13,蒙山县水利局，广西龙建工程管理有限公司,,,
14,广东省工业高级技工学校，广州有德招标代理有限公司韶关分公司,东莞优科计算机科技有限公司,1619588元,43077.0
15,东莞市国土资源局望牛墩分局，广东和盛招标代理有限公司,广东广量测绘信息技术有限公司,1838000元,43074.0
16,平度市教育体育局，青岛市昊金海建设项目管理有限公司,青岛海佳翔信息技术有限公司,1951666.00元,43076.0
17,滨州高新技术产业开发区小营街道社区卫生服务中心，龙达恒信工程咨询有限公司,济南誉博医疗科技有限公司,94500.00元,43076.0
18,南宁职业技术学院，广西科文招标有限公司,领航未来(北京)科技有限公司,91.1万元,43076.0
19,鹿邑县人民医院，中金招标有限责任公司,河南泓梦卓商贸有限公司,134.5万元,43076.0
20,河北省国土资源局,,,
21,深圳信息职业技术学院，深圳龙达招标有限公司,,,
22,漳县人民检察院，兰州恒基工程咨询有限公司,,,
23,怀安县人民法院，河北鑫凯招标有限公司,张家口市科达数码科技有限公司,1816350.00元,43077.0
24,公安部机关政府采购办公室，中技国际招标有限公司,,,
25,卢龙县人民法院，秦皇岛泓远工程项目管理有限公司,秦皇岛启创商贸有限公司,491800元,43073.0
26,江苏省测绘地理信息局，江苏省设备成套有限公司,,,
27,淄博市林业局，山东众德建设项目管理有限公司,,,
28,益阳市安全生产监督管理局，益阳银城招标代理有限公司,,,
29,云浮市国土资源，城乡规划管理局，广州穗科建设管理有限公司云浮分公司,广东新禾道信息科技有限公司,640000元,43067.0
30,中国海洋大学，青岛政畅招标代理有限公司,青岛莱博斯威仪电科技有限公司，北京易博三维科技有限公司,200.985万元,43063.0
