Unnamed: 0,招标人,中标人,中标金额,中标时间
1,广西真诚工程咨询有限公司,柳州市城市管理信息中心,人民币贰拾万元整,
2,四川省宜宾市临港区国土房管局,四川金土地实业有限公司,384000元,2017年12月12日17:30
3,宁海县长街中心卫生院,宁波腾翔信息系统工程有限公司,1868809,43074
4,淮安市国土资源局,南京国图信息产业有限公司，江苏星月测绘科技股份有限公司，南京捷鹰数码测绘有限公司,7496000.00元，4462500.00元，7560000.00元,
5,龙岩市不动产登记中心,北京超图软件股份有限公司,捌佰伍拾壹万玖仟元整,43064
6,龙岩市新罗区适中镇中心卫生院,,,
7,秦皇岛市城乡规划局,秦皇岛燕大燕软信息系统有限公司,人民币334000元,43082
8,四川省雅安市国土资源局,,,
9,安徽省基础测绘信息中心,安徽省第一测绘院,人民币贰佰零伍万壹仟元,43081
10,四川省内江市基础地理信息中心,四川省冶金地质勘查局测绘工程大队，国家测绘地理信息局四川基础地理信息中心,570000元，630000元,43083
11,四川省成都市大邑县文化体育广电新闻出版局,,,
12,同德县国土资源局,,,
13,肇庆市鼎湖区农业局,广东绘宇智能勘测科技有限公司,"1,326,200元",43066
14,苏州市不动产登记中心,,,
15,甘南藏族自治州公安消防支队,,26万元,
16,潍坊工程职业学院,济南环宇测绘仪器有限公司,196000元,43083
17,湖州市档案局,,29.22万元,43083
18,"山东省运河监狱,山东省林业厅机关",攀枝花市商源科技有限公司，成都华欣伟业科技有限公司，广州都市圈网络科技有限公司,,2017/5/12 0:00
19,衡水市国土资源局桃城分局,"衡水恒远工程项目管理有限公司,深州市通宁城市建设工程有限公司","17450元,721,213.2元",43081
20,吉林市昌邑区桦皮厂镇农村土地整治办公室,长春市建设监理中心,37.6万元（人民币）,43081
21,临沂市国土资源局临港经济开发区分局,临沂市土地开发服务中心,356000元,
22,江西省上饶市中级人民法院,上饶市土桥实业有限公司,180万元,
23,阳江市不动产登记中心,,"2,470,000元",
24,东胜区图书馆,,,2017年12月26日09:00
25,青州市国土资源局,山东省地质矿产勘察开发局第四地质大队,1420000.00元,
26,广西翰林工程项目管理有限责任公司，河池市农业局,广西中科云谷科技股份有限公司,人民币贰佰玖拾玖万肆仟元整,43098
27,,,,
28,,,,
29,,,,
30,,,,
