Unnamed: 0,招标人,中标人,中标金额,中标时间
1,陕西省教育厅,北京航星永志科技有限公司西安分公司,290000,无
2,长葛市城乡规划局,许昌博悦科技有限公司,580000.00元,42933
3,海兴县国土资源局,河北云腾测绘技术服务有限公司,283.0082万元,43067
4,南宁市公安局,中国移动通信集团广西有限公司南宁分公司,陆万陆仟元,43054
5,杭州市国土资源局下城分局,杭州厚德科技有限公司,274400.00元,43059
6,深州市国土资源局,无,无,无
7,无,衡水市国土资源局桃城分局,无,无
8,南京市规划局机关,无,无,无
9,华南师范大学,广东时汇信息科技有限公司,"3,138,800.00元",无
10,安徽省第四测绘院,飞燕航空遥感技术有限公司,2080000.00元,43081
11,丰宁满族自治县工信局,广东省电信规划设计院有限公司,2680000.00元,43060
12,绍兴市柯桥区教育服务中心,武汉天喻信息产业股份有限公司,6920000,2017年11月15日10:00
13,北京市海淀区园林绿化局,北京京昌工程测绘技术有限公司,498000元,43055
14,泉惠石化工业区应急救援中心,国家安全生产监督管理总局通信信息中心,39.1万元,43076
15,灵丘县人民法院,山西欣元旭和电子科技有限公司,88.5万元,43086
16,灵丘县人民法院,大同市鼎新拓扑商贸有限责任公司,53.875万元,43086
17,德州市公安局交警支队平原大队,北京实创上地科技有限公司,1759953.88元,2017年12月15日 9时30分
18,中国移动通信集团江苏有限公司南京分公司,无,无,无
19,益阳职业技术学院,无,无,无
20,西藏自治区司法厅,无,148万元人民币,2018年1月5日下午15:30分
21,西藏自治区边防总队指挥中心,无,无,无
22,青海交通职业技术学院,无,无,无
23,广州开发区交通运输局和广州市黄埔区交通运输局,深圳市城市交通规划设计研究中心有限公司,278万元,无
24,临夏市国土资源局,无,无,无
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
