Unnamed: 0,招标人,中标人,中标金额,中标时间
1,龙岩市永定区国土资源局,,230万,
2,云南广电网络集团有限公司德宏分公司,,4.23万,
3,乐清市不动产登记服务中心,江西阳光安全设备集团有限公司,713184元,43061
4,福州大学,,60万元,
5,巫溪县智慧城管平台,,"4,377,500.00元",43082
6,福建省安溪华侨职业中专学校,,"460,000元",43082
7,新泰市公安局,广东德士嘉通讯系统有限公司,137.094万元,
8,无锡市公安局,,,43105
9,怀仁县政府采购中心,,507750元,43097
10,扶绥县国土资源局,,275.96万元,
11,安康市汉滨区人民法院,陕西紫光工程有限公司,37.50万元,43055
12,德州市陵城区国土资源局,山东明嘉勘察测绘有限公司,170125977.00元,43053
13,中国纺织出版社,北京网梯科技发展有限公司,89万元,43076
14,永济市政府采购中心,中国移动通信集团山西有限公司运城分公司,99999,43059
15,蒙城县法院,,,
16,福建省立医院,国药（南平）器械有限公司、厦门育哲集团有限公司,,
17,惠来县国土资源局,广州国测规划信息技术有限公司,"6,135,000元",43060
18,招标人是中国联合网络通信有限公司湖北省分公司,,,
19,深圳市大鹏新区公共事业局,东北师范大学理想信息技术研究院,103.34万元,43066
20,河北农业大学,中国兵器工业北方勘察设计研究院有限公司,5.082万,43066
21,绍兴市城市规划测绘院,,,
22,佛山市南海区交通运输局,,,
23,广州市海珠区启能学校,,,43095
24,日照市人民防空办公室,山东大凯电器工程有限公司,743000.00元,43061
25,黑龙江恒旭达测绘有限公司双鸭山分公司,饶河县国土资源局,78.138万元,43061
26,上海科技大学,览迅（上海）信息科技有限公司,3056700元,2017-11-21 00:00:00
27,西乡县交通运输局,汉中经纬科技咨询有限责任公司,595800.00元,43059
28,颍上县档案局,合肥东林软件科技有限公司,405000元,43061
29,吉林省测绘地理信息局,长春嘉诚信息技术股份有限公司,208.30万元,43066
30,忻城县政府采购代理机构,,328.20万元,
