Unnamed: 0,招标人,中标人,中标金额,中标时间
1,广东省中山市中级人民法院,北京华宇信息技术有限公司,180.5万元,2017年11月21日
2,华南师范大学,,,
3,福鼎市人民法院,,,
4,汕头市城市综合管理局,,58万元,2017年11月28日
5,庆阳市西峰区人民法院,兰州奇纳宏宇信息系统工程有限公司,65.863万元,2017年12月05日
6,空军总医院,,,
7,资兴市畅兴交通建设发展有限责任公司,,,
8,南京市第二医院,,,
9,枣庄市档案局,,,
10,柳河县农村经济管理局,北京中农信达信息技术有限公司,124万元,2017年12月07日
11,云浮市国土资源和城乡规划管理局,广东新禾道信息科技有限公司,640000元,2017年11月21日
12,郎溪县省道建设管理有限公司,"1.江苏元欣科技发展有限公司
2.江苏帝屹建设工程有限公司
3.江苏天许建设有限公司","1. 2686000.00元
2. 2721000.00元
3. 2603300.00元",2017年12月5日
13,淮阳县公安局,,,
14,福州市马尾区公安局,福建鑫百隆环保技术有限公司,1456000.00元,2017年12月07日
15,青县国土资源局,,,
16,          阜平县农业局,,,
17,四川省公安厅,成都快信通信设备有限公司,84.9万元,2017年11月13日
18,石家庄市城乡规划局鹿泉分局,"
1.河北恒华信息技术有限公司
2.保定九华勘察测绘有限责任公司

","1. 15.32万元
2. 138.415万元",2017年11月20日
19,桓台县国土资源局,,,
20,高邑县国土局,石家庄市土地利用规划院,0.00元,2017年10月23日
21,定襄县不动产登记中心,,,
22,山东省地质调查院,,,
23,莱芜市国土资源局,,,
24,无锡市滨湖区马山街道办事处,无锡太湖明珠建设咨询有限公司,38万元,2017年12月6日
25,无锡市江南中学,,,
26,住房和城乡建设部机关服务中心,北京国信鑫业工程咨询有限责任公司,48.6万元,2017年7月27日
27,四川省乐山市乐山市交通运输委员会,,,
28,北京师范大学,北京科众联进出口有限公司,47.9万元,2017年11月27日
29,确山县公安局,,,
30,北京市通州区民政局,中环曼普科技（北京）有限公司,49.96万元,2017年11月27日
