,招标人,中标人,中标金额,中标时间
1,朝阳市龙城区规划局,武汉珞珈德毅科技股份有限公司,壹佰捌拾万元（￥180万元）,2017年11月22日
2,宁波市鄞州区智慧城管中心,,,2017年11月22日
3,宁海县智慧交通建设指挥部,上海市城市建设设计研究总院（集团）有限公司,￥1392600.00,2017年11月22日
4,西峡县国土资源局,,,
5,酒泉市公安局,,,
6,新乡市城市管理局,中国移动通信集团河南有限公司新乡分公司,￥97.7万元（人民币）,2017年11月22日
7,贵德县发展和改革局,,,
8,慈溪市国土资源局,,￥19.96万元（人民币）,2017年11月13日
9,卢龙县土地开发整理中心,河北省第二测绘院,166000.00元,2017/10/10
10,中山大学数据科学与计算机学院,,,
11,上海市闵行区排水管理所,,,
12,武宁县卫生和计划生育委员会,江西科乾商贸有限公司,103.92万元人民币,
13,福建省制图院,,,
14,隆尧县国土资源局,,,
15,亚太卫星宽带通信（深圳）有限公司,,,
16,乐业县林业局,广西壮族自治区林业勘测设计院,柒拾玖万肆仟陆佰元整（￥794600.00）,2017年11月27日
17,织金县实兴乡人民政府,,,
18,南宁市公安局武鸣分局,广西南宁茂通通信科技有限公司,90.07万元（人民币）,2017年11月21日
19,启东市规划信息中心,,,
20,山东省遥感技术应用中心,北京吉威时代软件股份有限公司,175000元,2017年12月7日
21,东莞市公安局横沥分局,,,
22,桐城市国土资源局,,,
23,信阳市平桥区加快推进农村集体土地确权登记发证工作领导小组,,,
24,泉州市不动产登记中心,武大吉奥信息技术有限公司,￥509万元（人民币）,2017年12月6日
25,石家庄市人力资源和社会保障局,,,
26,沧州市国土资源局南大港管理区分局,,,
27,张家港市公安局交通警察大队，张家港市东城综合开发有限公司,,,
28,延津县国土资源局,,,
29,姚安县国土资源局,楚雄三维测绘咨询有限公司,117600.00元,2017年12月1日
30,上海市杨浦职业技术学校,上海十锐教学设备科技有限公司,697000元,2017年11月29日
