Unnamed: 0,招标人,中标人,中标金额,中标时间
1,泰安市泰山风景名胜区管理委员会,山东众投北斗遥感信息科技股份有限公司,228800,43074
2,钦州市市政管理局,中国电信股份有限公司钦州分公司,2204520,43075
3,湖州广播电视总台,杭州恒平科技有限公司,787750,43053
4,东莞市黄江房地产管理所,,,43098
5,:中海油能源发展股份有限公司工程技术分公司,,,
6,东莞市国土资源局企石分局行政区域,,978600,43098
7,德州市公安局交通警察支队,,,
8,淮安市经济和信息化委员会,灵治（上海）教育科技有限公司,280000,43084
9,南宁市农业技术推广站,广西慧云信息技术有限公司,120000,43074
10,厦门市文化馆,,,
11,中国铁塔股份有限公司云南省分公司,,,
12,漳平市国土资源局,北京超图软件股份有限公司,1996811,43082
13,麻栗坡县国土资源局行政区域文山壮族苗族自治州,,7641400,2018年01月10
14,阜平县农业局,,5800000,
15,四川省泸州市不动产登记中心,,2400000,2018-01-10 00:00:00
16,河源市不动产登记中心,,6305000,43095
17,平阳县综合行政执法局,北京数字政通科技股份有限公司,39818.8,43083
18,留坝县国土资源局,,3093300,43088
19,连城县国土资源局,,,2017-12-07 00:00:00
20,津市嘉山实业有限公司,,"2000000 , 500000",43104
21,四川省巴中市南江县职业中学,四川耀发科技有限公司,674000,2017-12-12 00:00:00
22,重庆市梁平县中医医院,,1150000,43105
23,金寨县公安局,,4000000,43103
24,隆安县国土资源局,,5125100,43103
25,秦皇岛市民政局,石家庄利达测绘有限公司,540000,2017-12-11 00:00:00
26,梅河口市国土资源局,,277000,43080
27,北京市东城区城市管理综合行政执法监察局,北京岳迅科技有限公司,352600,43061
28,山东省地质调查院,,,43060
29,山东省地质调查院,,,43060
30,石家庄市不动产登记中心,河北恒华信息技术有限公司,1347000,43075
