Unnamed: 0,招标人,中标人,中标金额,中标时间
1,西双版纳傣族自治州中级人民法院,景洪市曼弄枫华美达商业街7幢1号楼,120.484万,2017年12月15日10:30
2,克拉玛依市人民医院,,,
3,闽南师范大学,,,
4,辽源市西安区人民法院,长春市平宇电子科技有限公司,39.5万,43060
5,北京大学第一医院,北京智诚康泰商贸有限公司,69.3万,43061
6,宁德职业技术学院,,,
7,南宫市公安局,河北紫辰网络科技有限公司,419500.00元,2017-10-31 00:00:00
8,蓝山县农村经营服务站,湖南远林通讯技术有限公司,105000元,43070
9,淮安市实验小学新城校区委托的淮安市政府采购中心,淮安天地伟业智能化工程有限公司，江苏恒维建设工程有限公司，淮安网众广电科技有限公司,376666.00元，383500.00元，395000.00元,2017年12月4日 9:30
10,江苏省泰兴中等专业学校智慧校园,北京东华合创科技有限公司,679.6543万,43074
11,新县职业高级中学,河南恒茂创远科技股份有限公司,3118600元,43074
12,汕头市档案局,,,
13,行唐县国土资源局,河北省地矿局石家庄综合地质大队,340000.00元,
14,山东省地质调查院,中国海洋大学,19.9万元,2017年11月22日11:57
15,广东省中山市中级人民法院,北京华宇信息技术有限公司,1805000元,2017-11-21 00:00:00
16,清河县国土资源局,河北世泽建筑工程有限公司,1325569.00元,2017-10-11 00:00:00
17,上海铁路局,江苏亨通线缆科技有限公司,471387.5元,43080
18,平山县土地开发利用管理站,平山县中浩建筑工程有限公司,3652500.45元,2017年12月8日9:00
19,靖安县国土资源局,江西南方测绘院,98500元,43080
20,西和县公安局交通警察大队,,,
21,无棣县公安局,山东金康电子系统有限公司，山东龙帝科技发展有限公司，山东龙帝科技发展有限公司,1763498.79元，7555300元，1366000元,43034
22,永清县国营林场,河北天海测绘服务有限公司，永清县鸿程土地勘测有限公司，廊坊市天星测绘有限公司,390000元，360000元，348000元,43052
23,咸宁市咸安区疾病预防控制中心,,,
24,省级地理信息公共服务平台行业数据库建库,北京威特空间科技有限公司,10.2万,2017年11月22日11:57
25,惠州市大亚湾开发区法院,广东南方通信建设有限公司,1975800万,43067
26,界首市国土资源局采购单位,,,
27,杭州市档案局,,,
28,国家发展和改革委员会,,,
29,通辽市公安局交通管理支队,烟台昌达智能交通设备有限公司，河南京都建筑安装有限公司,316000元，598800元,2017年11月07日，2017年11月07日
30,灵寿县地产市场交易开发整理中心,灵寿县第三建筑公司,2413467.63元,2017-11-13 00:00:00
