Unnamed: 0,招标人,中标人,中标金额,中标时间
1,象山县教育园区管委会行政区域,"宁波曼晨文化发展有限公司,宁波天使空间企业管理服务有限公司",￥42.864万元（人民币）,43068
2,湖北省商务厅,湖北世纪科怡数据技术有限责任公司,"人民币（大写）壹拾壹万伍仟元整（￥:115,000.00）",43073
3,邵武市不动产登记中心行政区域,杭州今奥信息科技股份有限公司,￥826.68万元（人民币）,43074
4,广东省地图院行政区域,,,
5,广西百色右江水务股份有限公司,百色市城建规划综合技术服务有限责任公司,人民币壹拾伍万元整（￥150000.00）,43066
6,莱州市国土资源局行政区域,,,
7,临夏市国土资源局,,,
8,东营市河口区新户中心卫生院太平分院,,,
9,重庆悦来投资集团有限公司,,,
10,包头市国土资源局,,,
11,三河市国土资源局行政区域,北京新兴华安智慧科技有限公司,￥696万元（人民币）,43061
12,龙岩市公安局交通警察支队行政区域,中国移动通信集团福建有限公司龙岩分公司,￥1066.22万元（人民币）,2017年11月27
13,宜昌市河道堤防建设管理处,,,
14,绥阳县中等职业学校,,,
15,余姚市水资源投资开发有限公司,,,
16,大埔县文化广电新闻出版局,"大埔县科联电脑有限公司,广东泰鸿科技股份有限公司","517,500元整",43060
17,广西壮族自治区商务厅,,,
18,广东省计量科学研究院行政区域,,,
19,大兴安岭地区行政公署公安局行政区域,,,
20,泗洪县土地整理中心,,,
21,山东省地质调查院行政区域,济南大学,19.975万元,43061
22,广州市南沙区人力资源和社会保障局,广州红海瀚洋人力资源有限公司,人民币506820.00元,43055
23,福建省测绘院行政区域,,,
24,聊城市不动产登记中心行政区域,苍穹数码技术股份有限公司,2436.96万元,43061
25,漳州市测绘设计研究院,漳州新源电力工程有限公司,1155800元,2017年11月22
26,北京市八宝山人民公墓行政区域,北京市民政建筑安装工程有限公司,￥451.807752万元（人民币）,42838
27,南京市房地产市场交易管理中心,,,
28,北京市东城区精神卫生保健院行政区域,,,
29,宿松县人民医院,,,
30,惠州仲恺高新技术产业开发区住房和城乡规划建设局,,,
