,招标人,中标人,中标金额,中标时间
1,"国家测绘地理信息局,四川基础地理信息中心",,,
2,衡水市冀州区国土资源局,,,
3,甘肃省水利厅水土保持局,上海双微导航技术有限公司,34.98万元,2017年11月27日
4,潍坊市社会福利院,山东中远地理信息工程有限公司,14900元,2017年11月27日
5,海南省水文水资源勘测局,,,
6,武乡县农村合作经济经营管理中心,山西省第五地质工程勘察院,580000.00元,2017年11月28日
7,晋中市卫生学校,东北师大理想软件股份有限公司,1837000.00元,2017年12月7日
8,枣庄市山亭区农村经济经营管理局,济南怡鲁科技有限公司,360000.00元,2017年12月6日
9,新疆生产建设兵团第十二师养禽场子女学校,新疆创视通电子信息有限公司,244200.00元,2017年11月16日
10,泾县人民法院,,,
11,汕头市澄海职业技术学校,广东天亿马信息产业股份有限公司,"2,695,113.00元",
12,承德市住房和城乡建设局,承德泰越电子技术工程有限公司,204800元,2017年1月20日
13,中国共产党蔚县委员会农村工作部,承德华勘五一四测绘有限公司,556000.00元,
14,兴化市城市管理局,中国移动通信集团江苏有限公司泰州分公司,,
15,潮州市公安局潮安分局,,,
16,义乌市佛堂镇人民政府,浙江鸿程计算机系统有限公司,4478000元,2017年12月5日
17,潍坊市智慧潍坊建设办公室,山东金三利信息技术有限公司,109.2万元,
18,山西省临汾市中级人民法院,山西三友和智慧信息技术股份有限公司,3177000元,
19,无极县国土资源局,,,
20,河南省劳动干校（河南省经济技术中等职业学校）,河南鼎阳仪器设备有限公司,79.5万元,2017年11月15日
21,封丘县国土资源局,,,
22,舟山市住房和城乡建设局,浙江广盛环境建设集团有限公司,99840元,2017年11月24日
23,广西壮族自治区北部湾港口管理局,,,
24,武功县人民法院,,,
25,梧州市第三人民医院,梧州市卓信科技有限责任公司,"174,400.00",2017年12月4日
26,永清县国土资源局,,,
27,绥江县人民医院,,,
28,山东省潍坊市中级人民法院,,,
29,曲阳县国土资源局,,,
30,保定学院,,,
