Unnamed: 0,招标人,中标人,中标金额,中标时间
1,广州市人民政府办公厅,珠海泰坦软件系统有限公司,622500,43059
2,涿州市亨通南街代理机构,,140万元,43081
3,银川市鸿利建设工程咨询有限公司,成都必佳科技发展有限公司,79.86万元,2017-11-29 00:00:00
4,广州市文化馆,,2000000元,43069
5,永清县国土资源局,,562678,43087
6,江西正安工程咨询有限公司,,250000.00元,43081
7,四川省广元市旺苍县交通运输管理局,,395660,2017-12-05 00:00:00
8,杭州市上城区教育后勤管理中心,杭州市上城区教育后勤管理中心智慧校园应用系统采购项目杭州鼎永科技有限公司,298500,2017-11-23 00:00:00
9,潍坊市中心血站,山东万邦房地产评估测绘有限公司,6700元,43054
10,甘肃医学院,,450万元,43091
11,石家庄市国土资源局,,257.3899万元,43090
12,定州市国土资源局,北京恒兴华建土地科技有限公司,35.2万元,43075
13,无锡市政府采购中心,广州都市圈网络科技有限公司,689600元,43056
14,龙岩市公物采购招标代理有限公司,,2300000,2017-12-12 00:00:00
15,周口市东新区社会事务局,,175万元,43076
16,承德市节约用水办公室,,500000,42850
17,江西宏广招标咨询有限公司抚州分公司,,1405万元,43067
18,邯郸市国土资源局邯山分局,,31.28万元,42788
19,高新区政府采购中心，阜新高新区政府采购中心,,29.0（万元）,43083
20,广东元正招标采购有限公司,,512000,43060
21,广西嘉华建设项目管理咨询有限公司,,A分标：79000.00元；B分标：30000.00元,42978
22,广西嘉华建设项目管理咨询有限公司，广西壮族自治区桂林公路管理局,,34万元,42907
23,博罗县公共资源交易中心,广东省国土资源测绘院,6070000,42962
24,敦煌市国土资源局，敦煌市信惠工贸技术有限责任公司,,169万元,42957
25,湖北汉胜工程咨询有限公司,,87万元,42961
26,行唐县国土资源局，石家庄中邦招标代理有限公司,,341803.84元,43038
27,四川省德阳市罗江区罗江县住房和城乡规划建设局,四川省明杰设计顾问有限公司,549000元,2017-12-01 00:00:00
28,邵武市不动产登记中心,杭州今奥信息科技股份有限公司,826.68万元,43069
29,广州市荔湾区人民政府,南岸服务区设计公司,900万元,43067
30,珠海市金湾区人民政府,重庆市路达公路设计咨询事务所,809万元,43064
