,招标人,中标人,中标金额,中标时间
1,北京市土地整理储备中心平谷区分中心,,,2017年12月13日09:30
2,湖北生物科技职业学院,北京世纪超星信息技术发展有限责任公司,2.98万元人民币,2017年11月13日
3,广河县国土资源局,,,2017年11月28日至12月4日
4,秦皇岛杜庄工业聚集区管理委员会北新庄片区,抚宁骊城测绘队,533400.00元,2017/11/9
5,沧州市农牧局,河北省第三测绘院,,2017/9/23
6,内蒙古自治区地图院,内蒙古中安工程项目管理有限责任公司,98.2万元,2017年12月5日
7,没爬取到信息,,,
8,云南开放大学,昆明爱必拇科技有限公司,318800元人民币,2017年12月31日
9,临海市中等职业技术学校,,,
10,洛阳外国语学校,洛阳天罡商贸有限公司,贰拾陆万伍仟捌佰元整(265800.00元),2017年11月28日
11,三明市国土资源局,北京新兴华安智慧科技有限公司,552.06万元,2017年11月28日
12,南宁职业技术学院,领航未来(北京)科技有限公司,911000,2017年12月7日
13,佛山市南海区不动产登记局行政区域南海区,佛山市禅城区兆银档案办公用品设备中心,"12,000,000",2017年12月8日
14,北京市八宝山人民公墓,北京中建工程顾问有限公司,14.68401万元（人民币）,2017年4月13日
15,抚松县文化广电新闻出版局,哈尔滨哈影东昱科技有限公司,30.9万元（人民币,2017年12月8日
16,南京市建邺区信息中心,武大吉奥信息技术有限公司,"1,970,000.00元",2017年12月7日
17,河南省新乡市中级人民法院,郑州四通系统集成有限公司,512000.00元,2017年11月15日
18,栾城县农村财务管理局,,,2017年12月01日14时30分
19,诸城市国土资源局,杭州今奥信息科技股份有限公司,1421000.00元,2017年12月5日
20,太康县国土资源局,河南省鑫源土地科技有限责任公司,49.60万元,
21,长岭县农村经济管理局,黑龙江省地质测绘院,0.45元/亩,
22,海安县国土资源局,,,
23,无锡市公安局,,,
24,淄博市临淄区人民政府闻韶街道办事处,,,
25,中山大学附属眼科医院验光配镜中心,,,2017年09月15日10时00分
26,惠州仲恺高新技术产业开发区住房和城乡规划建设局,,,
27,广西壮族自治区商务厅,,,
28,广东省公安边防总队,,,
29,清远市公安局,广东省电信工程有限公司,"30,497,888.00元",2017年11月17日
30,福建医科大学附属第一医院,,,
