,招标人,中标人,中标金额,中标时间
1,玉树州申报世界自然遗产工作领导小组办公室,,,
2,邯郸学院,,,
3,山东颐隆招标有限公司,,,
4,华春建设工程项目管理有限责任公司,福建泉州勘测设计院有限公司,280,2017年11月22日
5,柳州市档案局,,,
6,广西德元工程项目管理有限责任公司,,,
7,滦县城乡规划局,,,
8,衡水市环保局,,,
9,揭西县金和镇人民政府,深圳市爱华勘测工程有限公司,,
10,西林县国土资源局,广西壮族自治区地理国情监测院和北京超图软件股份有限公司联合体,1595000.00元,2017年12月5日09时30分
11,秦皇岛市城乡规划局机关,,,
12,龙口市住房和规划建设管理局,,,2017年12月30日9:00时
13,北京航空航天大学档案馆,,,2018年01月02日09:00
14,安阳县不动产登记中心,,,2017年12月28日上午9：00
15,凤县住房和城乡建设局,中国电信集团系统集成有限责任公司,2950000.00元,2017年11月23日
16,资源县人民法院,南宁富腾档案数据服务有限公司,553278元,
17,宁波市公安局交通警察局,,,017年12月19日14：30
18,桐柏县人民法院,,,2017年12月28日上午10时整
19,福州市仓山区市容管理局,,,2017年12月20日09:00
20,内蒙古自治区国家税务局,,,2017年12月22日09:30
21,玉林市卫生和计划生育委员,,,
22,个旧市公安局,,20000000元,2017年12月1日
23,宁波市奉化区土地勘测规划院,浙江华徕科技发展有限公司,392000.00元,2017年12月6日
24,象山数字电视有限公司,,,2017年12月26日13时50分
25,汕头市潮阳区国土资源局,武大吉奥信息技术有限公司,5780000元,2017年11月21日
26,中国西电集团公司,陕西启航测量设备有限公司,210000.00元,2017年11月22日
27,新乡市城市管理局,中国移动通信集团河南有限公司新乡分公司,979000.00元,2017年11月22日
28,唐山市国土资源局丰润区分局,唐山市丰润区新城建筑安装工程有限公司,2281999.18元,2017年12月6日
29,山东省地质调查院,,,2017年11月21日
30,中国电建集团昆明勘测设计研究院有限公司,昆明易细宁致科技有限公司,1768000.00元,2017年11月23日
